user_id,age,gender,preferred_style,size,budget_range
282,38,Male,Casual,XS,Low
283,37,Female,Streetwear,S,Medium
284,25,Female,Bohemian,M,Medium
285,24,Male,Streetwear,XS,Medium
286,20,Female,Formal,S,Low
287,34,Male,Casual,S,Medium
288,50,Male,Formal,L,Medium
289,29,Female,Streetwear,M,Medium
290,39,Female,Bohemian,M,Medium
291,39,Female,Formal,L,Medium
292,47,Male,Sporty,M,High
293,55,Male,Casual,M,Low
294,55,Male,Streetwear,XL,Low
295,25,Female,Bohemian,XS,Medium
296,44,Female,Formal,M,Medium
297,44,Female,Casual,M,Medium
298,51,Male,Bohemian,L,Medium
299,38,Male,Formal,L,Low
300,47,Male,Streetwear,XS,Low
301,50,Male,Sporty,L,Low
302,45,Male,Sporty,L,High
303,50,Female,Streetwear,S,High
304,22,Female,Casual,S,Low
305,36,Female,Streetwear,L,Low
306,21,Female,Formal,S,Low
307,52,Male,Casual,XS,Low
308,34,Female,Sporty,S,High
309,45,Male,Formal,XS,Medium
310,47,Non-binary,Bohemian,S,Low
311,46,Female,Bohemian,M,Medium
312,23,Male,Bohemian,S,Low
313,52,Non-binary,Sporty,XL,Medium
314,58,Male,Streetwear,S,Medium
315,54,Female,Casual,M,Medium
316,41,Female,Sporty,XL,Low
317,46,Male,Formal,L,Medium
318,48,Male,Formal,M,Medium
319,52,Female,Bohemian,M,Low
320,50,Female,Casual,M,Low
321,38,Male,Bohemian,XL,Medium
322,49,Non-binary,Formal,XS,Medium
323,40,Male,Formal,M,Low
324,50,Male,Streetwear,L,Low
325,20,Male,Streetwear,M,Low
326,35,Male,Streetwear,L,Medium
327,42,Male,Bohemian,L,Low
328,59,Non-binary,Casual,S,Medium
329,48,Male,Streetwear,M,Medium
330,20,Male,Sporty,M,Medium
331,57,Male,Streetwear,L,Medium
332,41,Female,Bohemian,L,Medium
333,49,Female,Casual,L,High
334,39,Male,Streetwear,XS,Medium
335,40,Male,Casual,L,Medium
336,19,Male,Sporty,M,Medium
337,44,Male,Formal,M,Medium
338,59,Male,Casual,M,Medium
339,19,Male,Streetwear,L,Low
340,43,Male,Bohemian,L,Medium
341,34,Female,Bohemian,M,Low
342,57,Male,Bohemian,L,Low
343,50,Non-binary,Bohemian,S,Low
344,26,Non-binary,Casual,M,High
345,60,Female,Bohemian,M,Low
346,56,Male,Formal,XL,Medium
347,46,Male,Sporty,XS,High
348,59,Male,Casual,M,Medium
349,43,Female,Casual,XL,Medium
350,52,Female,Bohemian,L,Medium
351,42,Female,Bohemian,L,Medium
352,41,Non-binary,Casual,M,Low
353,30,Male,Bohemian,L,High
354,24,Female,Bohemian,M,Low
355,53,Male,Bohemian,M,High
356,37,Male,Bohemian,S,Low
357,18,Male,Bohemian,L,Medium
358,25,Male,Streetwear,M,Medium
359,33,Female,Streetwear,M,High
360,31,Male,Streetwear,M,Medium
361,29,Female,Casual,S,High
362,40,Female,Sporty,S,Medium
363,32,Female,Casual,M,Medium
364,45,Male,Streetwear,L,Medium
365,51,Female,Casual,S,Low
366,19,Female,Sporty,L,Medium
367,49,Male,Bohemian,L,Low
368,40,Male,Formal,L,Medium
369,39,Female,Streetwear,M,Medium
370,42,Female,Streetwear,L,High
371,39,Female,Sporty,XS,Medium
372,39,Female,Bohemian,M,Medium
373,59,Female,Bohemian,L,Medium
374,23,Male,Formal,XL,High
375,32,Male,Bohemian,XS,High
376,60,Male,Sporty,M,Medium
377,54,Female,Bohemian,XL,Medium
378,50,Female,Sporty,L,Low
379,25,Male,Streetwear,XS,Low
380,22,Female,Streetwear,M,High
381,56,Male,Streetwear,XS,High
382,21,Male,Casual,L,Medium
383,23,Male,Streetwear,M,High
384,49,Male,Sporty,L,Medium
385,47,Male,Formal,XL,Medium
386,52,Male,Bohemian,XL,Medium
387,57,Male,Streetwear,L,Medium
388,33,Male,Casual,S,Medium
389,30,Female,Casual,S,Medium
390,59,Male,Sporty,M,Medium
391,47,Non-binary,Formal,M,Medium
392,36,Male,Streetwear,XS,High
393,34,Male,Streetwear,M,Medium
394,36,Male,Casual,XL,Medium
395,45,Male,Sporty,L,Medium
396,43,Female,Casual,S,Low
397,54,Male,Casual,M,Low
398,43,Non-binary,Formal,M,Medium
399,40,Female,Sporty,L,Low
400,26,Female,Formal,M,Medium
401,29,Female,Sporty,XL,Medium
402,18,Female,Streetwear,L,Low
403,18,Male,Bohemian,XL,Medium
404,51,Female,Bohemian,L,Low
405,49,Male,Sporty,L,Low
406,42,Male,Bohemian,L,Low
407,57,Female,Casual,S,Low
408,18,Female,Streetwear,S,Medium
409,33,Female,Streetwear,L,Medium
410,56,Male,Bohemian,XS,Medium
411,22,Female,Sporty,M,Low
412,39,Male,Casual,L,Low
413,46,Male,Sporty,L,Medium
414,20,Male,Bohemian,S,Medium
415,29,Male,Streetwear,M,Medium
416,43,Male,Streetwear,M,Medium
417,33,Female,Sporty,M,High
418,54,Female,Formal,XL,Medium
419,39,Male,Sporty,L,Medium
420,46,Female,Formal,XL,Low
421,31,Female,Sporty,XS,Medium
422,45,Female,Formal,M,Medium
423,22,Female,Formal,L,Low
424,47,Male,Formal,M,Low
425,22,Female,Formal,S,High
426,29,Female,Casual,XL,High
427,33,Male,Formal,L,Medium
428,43,Male,Formal,M,High
429,43,Female,Streetwear,M,Low
430,38,Male,Casual,XS,Medium
431,56,Non-binary,Formal,XL,Low
432,53,Male,Bohemian,L,Medium
433,50,Female,Casual,XS,Medium
434,47,Male,Streetwear,S,Low
435,54,Female,Sporty,L,Medium
436,40,Female,Streetwear,XS,Medium
437,27,Male,Streetwear,XL,Medium
438,22,Female,Casual,XL,High
439,53,Male,Casual,L,High
440,51,Male,Bohemian,L,Low
441,48,Male,Bohemian,M,Medium
442,27,Female,Casual,XS,Medium
443,36,Male,Casual,L,Low
444,49,Male,Casual,M,High
445,18,Male,Sporty,M,Low
446,22,Female,Streetwear,S,Low
447,21,Female,Bohemian,S,Low
448,33,Male,Bohemian,M,Medium
449,41,Male,Formal,L,Low
450,33,Non-binary,Sporty,M,Medium
451,19,Male,Casual,M,Medium
452,45,Female,Casual,M,Medium
453,49,Female,Sporty,XS,Low
454,44,Female,Bohemian,L,Medium
455,37,Male,Casual,M,Medium
456,41,Female,Formal,S,Medium
457,29,Female,Bohemian,S,Low
458,52,Female,Streetwear,XL,Low
459,50,Male,Sporty,M,Low
460,50,Male,Bohemian,S,Medium
461,60,Male,Streetwear,M,Low
462,54,Female,Formal,S,Medium
463,29,Female,Sporty,XS,Medium
464,20,Male,Casual,L,High
465,18,Female,Casual,S,High
466,50,Male,Streetwear,L,High
467,57,Female,Bohemian,M,High
468,27,Non-binary,Formal,S,Medium
469,60,Male,Streetwear,L,High
470,46,Male,Formal,M,Medium
471,30,Male,Formal,L,Medium
472,29,Female,Formal,L,Medium
473,48,Female,Sporty,XL,Medium
474,19,Non-binary,Streetwear,XS,High
475,52,Male,Sporty,XS,Low
476,40,Non-binary,Bohemian,M,Low
477,34,Male,Bohemian,S,Medium
478,43,Female,Casual,M,Medium
479,25,Male,Casual,XS,High
480,46,Female,Casual,M,High
481,43,Female,Bohemian,S,Low
482,27,Female,Formal,L,Low
483,43,Female,Formal,L,Medium
484,51,Male,Streetwear,XS,High
485,58,Male,Bohemian,L,Low
486,24,Female,Casual,M,Low
487,21,Male,Bohemian,M,Low
488,28,Male,Formal,S,Medium
489,46,Female,Formal,L,Medium
490,53,Female,Sporty,M,High
491,42,Male,Sporty,XS,Medium
492,38,Male,Streetwear,XL,High
493,53,Male,Bohemian,S,Medium
494,27,Male,Sporty,XL,Medium
495,54,Female,Sporty,M,Medium
496,26,Non-binary,Bohemian,L,Medium
497,41,Female,Formal,L,Low
498,52,Male,Streetwear,L,Medium
499,52,Non-binary,Streetwear,XL,Medium
500,53,Female,Streetwear,L,Low
501,35,Male,Sporty,M,Low
502,56,Non-binary,Formal,L,Low
503,49,Female,Streetwear,L,Low
504,41,Female,Bohemian,XS,Medium
505,40,Female,Streetwear,XL,Medium
506,49,Male,Casual,M,Low
507,54,Male,Formal,S,Medium
508,29,Female,Casual,M,High
509,30,Male,Formal,M,Low
510,40,Male,Bohemian,M,Low
511,42,Female,Sporty,M,Medium
512,52,Female,Sporty,S,Medium
513,58,Female,Formal,M,Medium
514,47,Female,Streetwear,XL,Medium
515,34,Female,Casual,M,Medium
516,37,Female,Bohemian,M,High
517,42,Male,Streetwear,S,High
518,39,Male,Sporty,XS,Medium
519,30,Male,Streetwear,M,High
520,36,Male,Casual,XS,Medium
521,53,Male,Sporty,L,Medium
522,29,Male,Formal,L,Medium
523,58,Female,Bohemian,M,High
524,36,Non-binary,Bohemian,M,High
525,29,Male,Sporty,XL,Low
526,26,Female,Formal,XS,Medium
527,24,Female,Casual,M,High
528,45,Male,Bohemian,XL,Medium
529,31,Non-binary,Sporty,XL,Low
530,48,Female,Bohemian,M,Low
531,36,Male,Formal,M,Medium
532,33,Female,Casual,XS,Medium
533,22,Male,Formal,S,Low
534,52,Female,Streetwear,L,Medium
535,29,Male,Formal,XS,High
536,42,Female,Formal,L,Low
537,38,Male,Bohemian,M,Low
538,53,Female,Formal,XS,High
539,40,Male,Sporty,S,High
540,33,Female,Bohemian,M,Low
541,56,Female,Bohemian,XS,Medium
542,59,Female,Streetwear,L,Medium
543,56,Female,Sporty,XL,Low
544,31,Female,Formal,XL,High
545,48,Female,Streetwear,L,Medium
546,22,Female,Sporty,L,Medium
547,52,Female,Streetwear,M,Medium
548,40,Female,Casual,M,High
549,46,Male,Formal,L,Low
550,60,Male,Streetwear,S,Medium
551,28,Male,Casual,S,Medium
552,35,Female,Formal,L,Low
553,29,Male,Streetwear,XL,High
554,26,Female,Streetwear,M,Low
555,27,Female,Streetwear,M,Medium
556,34,Male,Streetwear,M,High
557,55,Female,Bohemian,M,Medium
558,24,Male,Streetwear,M,Medium
559,30,Male,Bohemian,XL,Medium
560,57,Female,Bohemian,M,Medium
561,59,Male,Casual,XS,Low
562,26,Male,Formal,L,Medium
563,44,Female,Bohemian,M,Medium
564,19,Male,Sporty,L,Medium
565,22,Non-binary,Bohemian,M,Medium
566,46,Non-binary,Sporty,L,Low
567,54,Male,Casual,XS,Medium
568,55,Male,Sporty,XS,Medium
569,36,Female,Casual,M,Low
570,25,Female,Casual,L,High
571,18,Male,Casual,S,Medium
572,39,Female,Sporty,M,Medium
573,34,Male,Sporty,XL,High
574,24,Female,Casual,S,Low
575,42,Male,Casual,L,Medium
576,21,Male,Formal,L,Medium
577,53,Male,Casual,L,Low
578,23,Non-binary,Streetwear,XL,High
579,48,Female,Formal,M,Medium
580,36,Female,Formal,L,Medium
581,56,Male,Formal,M,Low
582,44,Male,Streetwear,M,High
583,27,Male,Formal,S,Medium
584,43,Female,Formal,M,Medium
585,36,Female,Sporty,S,High
586,56,Female,Sporty,L,Medium
587,20,Male,Casual,XL,Medium
588,30,Non-binary,Casual,L,High
589,45,Male,Bohemian,S,Medium
590,37,Non-binary,Streetwear,XS,Medium
591,45,Male,Sporty,L,Low
592,25,Female,Casual,M,Medium
593,58,Male,Streetwear,L,Medium
594,56,Male,Formal,L,Low
595,18,Female,Streetwear,M,Low
596,20,Male,Sporty,S,Medium
597,30,Male,Bohemian,S,Medium
598,45,Female,Sporty,S,Medium
599,42,Female,Casual,M,High
600,50,Female,Casual,XL,Medium
601,55,Male,Streetwear,XS,High
602,23,Female,Sporty,S,Low
603,49,Female,Casual,M,Medium
604,38,Male,Formal,M,Low
605,33,Female,Formal,L,High
606,38,Male,Bohemian,S,Medium
607,28,Male,Streetwear,XL,Medium
608,54,Male,Casual,XL,Medium
609,53,Male,Bohemian,L,Medium
610,52,Female,Formal,S,High
611,36,Female,Bohemian,M,Medium
612,37,Non-binary,Bohemian,L,Medium
613,35,Female,Casual,L,High
614,58,Male,Casual,L,High
615,31,Female,Casual,M,Low
616,32,Female,Streetwear,M,Medium
617,48,Male,Bohemian,XL,Medium
618,18,Female,Bohemian,S,Medium
619,20,Non-binary,Streetwear,XS,Medium
620,33,Female,Formal,XS,Medium
621,40,Non-binary,Sporty,L,High
622,28,Male,Formal,XS,Medium
623,29,Male,Streetwear,M,Medium
624,27,Male,Bohemian,M,High
625,49,Female,Bohemian,S,Low
626,33,Female,Casual,L,Medium
627,25,Non-binary,Casual,XS,Low
628,55,Male,Bohemian,M,Medium
629,29,Male,Bohemian,M,High
630,41,Female,Casual,M,Low
631,45,Female,Casual,S,Low
632,25,Male,Formal,XL,Medium
633,45,Female,Bohemian,XL,Medium
634,53,Female,Bohemian,M,Medium
635,43,Female,Streetwear,M,Medium
636,25,Female,Formal,M,Medium
637,45,Male,Sporty,L,Medium
638,45,Non-binary,Sporty,M,Low
639,54,Female,Sporty,XS,Low
640,58,Male,Casual,L,Low
641,53,Male,Sporty,M,Medium
642,44,Female,Streetwear,M,Low
643,34,Male,Casual,M,Medium
644,26,Male,Casual,XS,Medium
645,50,Female,Sporty,XL,High
646,37,Male,Casual,L,Medium
647,30,Female,Formal,S,Low
648,45,Male,Formal,M,High
649,46,Female,Sporty,M,Low
650,30,Male,Streetwear,S,Medium
651,52,Male,Casual,M,High
652,23,Male,Bohemian,M,Medium
653,35,Non-binary,Sporty,S,Medium
654,22,Female,Casual,M,Medium
655,42,Male,Sporty,S,Low
656,19,Female,Sporty,M,Medium
657,27,Female,Streetwear,M,Medium
658,47,Non-binary,Bohemian,S,Low
659,22,Male,Casual,M,Low
660,50,Female,Sporty,M,Medium
661,18,Male,Sporty,L,Medium
662,35,Male,Casual,M,High
663,49,Non-binary,Sporty,M,Medium
664,28,Female,Sporty,M,Medium
665,38,Male,Sporty,L,Medium
666,43,Male,Formal,L,Low
667,42,Female,Formal,S,Low
668,39,Female,Bohemian,XL,Medium
669,44,Male,Streetwear,L,Medium
670,30,Non-binary,Casual,M,High
671,50,Male,Streetwear,L,High
672,51,Male,Streetwear,M,Low
673,58,Non-binary,Formal,XS,High
674,52,Male,Bohemian,L,Medium
675,18,Male,Streetwear,XL,Low
676,38,Female,Streetwear,S,Medium
677,23,Female,Sporty,M,Medium
678,45,Male,Casual,L,Medium
679,34,Non-binary,Bohemian,XL,Medium
680,22,Female,Casual,S,Low
681,48,Male,Formal,S,Low
682,22,Female,Streetwear,S,Low
683,55,Male,Streetwear,M,High
684,20,Male,Casual,XL,High
685,40,Female,Formal,M,High
686,54,Non-binary,Sporty,XL,Medium
687,54,Male,Sporty,L,Low
688,27,Male,Streetwear,M,High
689,27,Female,Streetwear,XS,High
690,36,Male,Bohemian,M,Low
691,34,Male,Casual,XS,Medium
692,38,Male,Streetwear,M,Low
693,31,Female,Formal,XS,High
694,26,Male,Casual,S,Low
695,18,Male,Bohemian,M,High
696,30,Female,Sporty,M,Low
697,21,Female,Bohemian,S,Medium
698,18,Female,Casual,L,Medium
699,57,Male,Sporty,M,Medium
700,49,Female,Formal,L,Medium
701,51,Male,Sporty,L,Medium
702,45,Male,Sporty,L,Low
703,48,Female,Formal,XL,Medium
704,25,Male,Streetwear,S,Low
705,56,Male,Streetwear,S,Low
706,43,Male,Sporty,XS,Medium
707,51,Male,Sporty,M,Low
708,20,Male,Bohemian,M,High
709,29,Non-binary,Streetwear,M,Medium
710,18,Male,Formal,S,Medium
711,22,Male,Sporty,M,Low
712,47,Male,Sporty,M,Low
713,47,Non-binary,Bohemian,S,High
714,34,Female,Bohemian,M,Low
715,40,Male,Bohemian,L,High
716,32,Female,Casual,L,Low
717,54,Male,Formal,S,Medium
718,38,Male,Casual,L,Medium
719,31,Male,Sporty,XS,High
720,19,Male,Bohemian,M,Low
721,28,Male,Bohemian,XS,Low
722,56,Female,Bohemian,XL,Medium
723,55,Male,Streetwear,XS,Low
724,51,Female,Formal,S,Low
725,55,Male,Casual,XL,Low
726,51,Male,Formal,M,Medium
727,35,Male,Bohemian,L,Medium
728,47,Non-binary,Sporty,XS,High
729,32,Male,Streetwear,M,Low
730,44,Female,Formal,XL,Low
731,51,Male,Sporty,M,Medium
732,55,Male,Bohemian,L,Low
733,50,Male,Bohemian,XL,Medium
734,41,Male,Bohemian,L,Medium
735,32,Male,Bohemian,M,Low
736,47,Male,Streetwear,M,Medium
737,59,Female,Streetwear,XS,High
738,34,Male,Formal,M,High
739,22,Female,Bohemian,XL,Medium
740,46,Male,Streetwear,M,Medium
741,21,Female,Sporty,XL,Medium
742,27,Female,Streetwear,L,High
743,34,Male,Streetwear,XL,High
744,27,Male,Formal,XL,High
745,34,Female,Streetwear,L,Medium
746,37,Female,Sporty,L,Low
747,41,Male,Bohemian,L,High
748,22,Male,Casual,L,High
749,51,Female,Formal,L,High
750,23,Male,Sporty,L,Medium
751,19,Female,Formal,M,Medium
752,30,Male,Bohemian,M,Low
753,60,Male,Streetwear,S,High
754,60,Female,Streetwear,S,High
755,28,Female,Sporty,M,Low
756,40,Male,Bohemian,L,Medium
757,33,Female,Casual,L,Low
758,48,Female,Casual,XS,Medium
759,28,Female,Streetwear,L,Medium
760,33,Male,Bohemian,XL,Medium
761,25,Female,Bohemian,L,Medium
762,21,Female,Sporty,L,Medium
763,57,Female,Casual,S,Medium
764,21,Female,Sporty,M,Medium
765,42,Male,Formal,M,High
766,20,Female,Bohemian,XS,Medium
767,49,Female,Casual,S,Medium
768,20,Male,Sporty,XL,High
769,44,Male,Streetwear,L,Low
770,46,Male,Formal,S,Medium
771,49,Female,Sporty,M,Low
772,36,Male,Streetwear,M,Medium
773,38,Female,Casual,XS,Low
774,22,Non-binary,Casual,L,Medium
775,35,Female,Formal,S,Medium
776,45,Non-binary,Streetwear,L,Medium
777,59,Non-binary,Bohemian,L,Medium
778,39,Male,Casual,M,Low
779,38,Female,Bohemian,L,Low
780,23,Male,Bohemian,S,Medium
781,18,Female,Sporty,M,Low
782,22,Male,Sporty,L,High
783,58,Non-binary,Casual,L,Medium
